bp,A1: VK_Corrielle_1,A2: VK_Corrielle_2,A3: VK_Corrielle_3,A4: VK_Corrielle_4,A5: VK_Corrielle_5,A6: VK_Corrielle_6,A7: VK_Corrielle_7,A8: VK_Corrielle_8,B1: VK_Corrielle_9,B2: VK_Corrielle_10,B3: VK_Corrielle_11,B4: VK_Corrielle_12,B5: VK_Corrielle_13,C1: YG_Corrielle_1,C2: YG_Corrielle_2,C3: YG_Corrielle_3,C4: YG_Corrielle_4,C5: YG_Corrielle_5,C6: YG_Corrielle_6,C7: YG_Corrielle_7,C8: YG_Corrielle_8,D1: YG_Corrielle_9,D2: YG_Corrielle_10,D3: YG_Corrielle_11,D4: YG_Corrielle_12,D5: YG_Corrielle_13
65,8.053986522,7.286710427,15.53675184,22.67866923,18.01391632,20.06988703,14.40563744,17.27710717,13.92740228,19.48817796,17.14130492,22.47290749,10.49083115,20.0565731,12.78633146,10.65041033,9.552446426,14.50673006,12.84160216,15.19116371,14.97977897,7.936312456,17.33547457,15.19058782,15.66553026,12.57664517
66,8.522845888,8.332854716,16.73386949,23.56786803,17.11461655,20.44168399,14.37663953,18.41903027,15.38664477,19.26052361,18.25388168,23.25331706,10.67378017,20.94576569,13.23843092,11.63137939,12.39792104,14.701122,13.07568697,17.25299014,16.14250258,9.535617374,17.8240843,17.06412387,16.00251926,12.98548651
67,8.906928111,8.370681281,17.28730084,24.70029705,17.92091512,21.23646967,14.49473681,19.2817159,16.76863716,19.71307941,18.90848722,24.01802742,10.44288339,21.58266128,13.85537799,13.5947025,13.94975959,16.37713585,13.61581038,19.24679068,18.30416684,11.11492989,18.61780172,18.49539781,16.97601604,13.32537481
68,8.301136251,7.697540624,17.67803586,25.92613675,20.06374095,23.02128606,14.70212212,20.5191774,18.43016465,20.55099274,18.35751708,25.52633687,10.27583285,21.09614862,15.60242834,15.21250144,12.94800602,18.50613016,13.2692719,20.91899323,19.85503318,12.02327758,19.01487275,18.85034381,17.61362031,13.77126671
69,6.998411776,7.436739579,18.90675426,27.14861382,22.31268096,25.07607847,15.20467781,22.63135842,20.06036959,21.30581322,18.02541679,27.26088318,10.98376142,21.00284201,17.29873622,16.15271868,12.29165958,18.62222063,12.91935667,22.55824972,20.73718643,13.00944917,19.31091409,19.20423158,18.96616635,13.97577112
70,5.569478209,7.5990536,20.34125124,28.91957209,23.75119102,26.56351374,16.0768503,25.25611701,20.88641762,22.46559612,19.671029,28.18782844,12.50539963,22.29064695,18.62889632,17.39477382,14.06461649,17.36156531,14.42248617,24.14675616,22.53465056,15.09813545,20.27781884,19.87021365,20.38435361,14.55357763
71,2.835945976,7.983812961,21.82318874,31.12553944,25.74613443,28.33132563,17.75713403,28.33124653,21.97787822,24.39691009,23.02562966,28.68699674,13.81615731,24.08899397,20.76822119,18.84147598,16.27945281,17.39178321,17.09094352,25.7008309,25.45865931,17.94438695,22.60769842,20.54856451,21.12578288,16.19974971
72,3.357654013,8.365777593,24.00807824,32.10381423,29.37670949,30.41029174,19.64404913,31.05669356,25.64753296,26.93954046,26.79291596,29.98945,15.21299141,26.13277323,23.28241922,19.43795521,16.92646883,18.69739125,18.9856413,27.15372863,28.69122009,20.88692133,25.79307113,21.67245719,21.45571957,18.01936661
73,4.681719743,8.780476072,26.98639956,33.89895564,33.215944,31.80791451,20.68722662,32.40461587,31.03888131,29.72842535,29.67960009,32.80206195,16.95660348,28.63528041,25.95157659,18.92556545,16.62983698,19.84881427,20.09135805,28.59004932,31.33618408,23.76208479,28.76488256,23.85777376,23.08084573,19.0058895
74,5.814970115,9.370604613,30.25983546,36.53200959,35.85210618,33.27814585,21.97192453,33.39961441,35.48631924,32.93050313,36.40664237,36.15414869,17.49314828,31.28684565,29.00128807,18.66108664,16.84787709,21.69236534,21.41356138,31.07943667,36.93344429,26.00209648,31.03244114,26.83107041,26.50329364,19.83072783
75,6.04,9.59,33.61,39.55,37.97,36.4,25.28,36.17,39.39,36.92,41.09,39.37,17.21,34.18,31.6,20.43,17.18,24.71,23.44,35.03,41.43,27.31,33.29,29.66,30.4,21.38
76,5.9,9.38,36.23,42.66,40.42,40.26,28.7,40.26,42.93,40.83,44.59,42.31,18.49,36.88,33.49,23.16,18.76,26.8,25.76,38.42,45.73,28.09,35.71,32.24,33.43,22.89
77,5.877380472,10.02946503,37.86480588,45.2874817,42.77859704,43.36187702,30.76302347,43.90854086,45.41759694,43.95084897,47.49421066,44.72664001,20.65702656,38.99849746,34.95608836,25.26824273,20.36206632,27.97079739,27.69083101,40.61531078,49.18214497,28.7404804,37.5271012,34.66821459,35.81687161,24.04986501
78,5.981544597,10.74182899,39.17928783,47.82548114,45.34794096,46.19602589,32.28848029,47.48162494,47.62304379,46.95112504,50.70779479,47.22000297,23.33639485,41.29563258,36.30604085,27.13833012,21.94958726,29.30027963,29.53630271,42.54018156,52.31550643,29.5079966,39.07548742,37.13720115,38.48023625,25.41525954
79,6.109634327,11.16795367,40.6269588,50.37598694,48.27504909,49.04050969,33.87137152,51.11655485,49.97906505,50.0622922,54.58977447,50.07359151,26.22207104,44.0879069,37.58983754,29.25742418,23.61315945,31.31416157,31.54290844,44.67746984,55.48083601,30.50917163,40.77831236,39.3473352,41.60683715,27.29611102
80,6.111652675,11.69980239,42.38494461,52.83518475,51.47157057,51.8242449,35.6127021,54.47286544,52.53279686,53.15065829,58.62414841,53.19746455,28.90239487,47.13487956,38.79356857,31.44400536,25.18444894,33.96367596,33.78977528,47.00701012,58.4591002,31.82994906,42.89227398,40.89511274,44.8715741,29.6346844
81,5.778691802,12.4167475,44.66438727,55.59811408,55.07035851,54.96138028,37.74697725,57.66216589,55.6242006,56.59379389,62.62150742,56.6350184,31.21126754,50.26015567,40.21916208,32.80272131,26.72818264,37.0142354,36.52012896,49.62252394,61.66569383,33.6607632,45.70288147,42.15219918,48.29484256,32.26321035
82,5.107285832,13.12512105,47.2937442,58.8704288,59.04843526,58.68234548,40.48775398,61.2194034,58.28003252,60.41711992,66.59210428,60.29006245,33.10460242,53.52085404,42.14655559,33.61789308,28.21066381,40.14555228,39.61871556,52.5707515,65.4365885,36.07816872,49.21764574,43.78936742,52.12637611,35.01592368
83,4.378404062,13.5503423,49.8796538,62.60507297,63.28380846,62.97366715,43.92127457,64.90107006,62.0177952,64.27627132,70.67858633,64.01398476,34.69368658,57.18843068,44.75068765,34.73308356,29.5659133,43.12608897,42.77624681,55.88375298,69.82801455,39.03978358,53.24956558,46.36206249,56.56236637,37.80000498
84,4.073966519,13.55423723,52.06999305,66.62717619,67.67250968,67.64798409,47.9079043,68.37465915,70.65529119,67.72228648,75.06631033,67.71506225,36.22186067,61.5968357,48.06769651,36.65505862,30.8296537,45.93987188,45.72229221,59.58369863,74.59193424,42.40149749,57.51685245,50.00954824,61.52011301,40.61459567
