bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16
703,0,0,0,1.93162227,18.05507025,0,1.564308014,0,0.316453894,6.753068993,1.243739107,1.766742369,1.876814716,4.182803795,0,0,1.976861157,0,1.014844106,3.985186034,0.895052519,0.750554014,1.038771504,4.825689341,14.37179281,0,0,0,0.141540148,0.966493832,0,0
704,0,0,0,1.804914834,17.56707298,0,1.585719935,0,0.402565487,6.338495846,1.214834964,1.831056254,1.965315715,4.111658191,0,0,2.147164934,0,0.720418132,3.662961172,0.737295933,0.911344633,1.001362414,4.279550935,14.4873951,0,0,0,0,1.034273528,0,0
705,0,0,0,1.684915885,16.93579734,0,1.573754558,0,0.601544863,5.956405194,1.162270611,1.758420936,2.023133524,4.06078487,0,0,2.32903489,0,0.249014764,3.408752482,0.581313067,0.990219732,0.953098563,3.688755511,14.6103807,0,0.138281348,0,0,1.112326685,0,0
706,0,0,0,1.563825161,16.17170011,0,1.559906964,0,0.868685084,5.696835017,1.064560589,1.616361601,2.089974498,3.974512664,0,0,2.518720966,0,0,3.266989942,0.517258991,1.010091805,0.913039425,3.135092396,14.61289209,0,0.2834171,0,0,1.125866639,0,0
707,0,0,0,1.434065536,15.29462248,0,1.573939244,0,1.156234251,5.636765134,0.907404389,1.476836174,2.206874757,3.805423166,0,0,2.714650207,0,0,3.270683171,0.618905627,1.002254183,0.894208742,2.693182846,14.38951064,0,0.443848042,0,0,1.010895466,0,0
708,0,0,0,1.302758954,14.37539652,0,1.586748246,0,1.439991323,5.732074973,0.733945824,1.358099197,2.368101812,3.613316495,0.09619928,0,2.914738999,0,0,3.411058494,0.829233226,1.000505074,0.869763127,2.3935559,14.00195171,0,0.649092402,0,0,0.790371016,0,0
709,0,0,0,1.182090804,13.50253354,0,1.54936515,0,1.703789664,5.897012344,0.606865636,1.259703317,2.551827478,3.493900581,0.376857588,0.530120604,3.116703885,0,0,3.664437056,1.046344838,1.038890683,0.799126406,2.251037687,13.56957913,0,0.935388361,0,0,0.517337765,0,0
710,0.146410875,0,0,1.082402889,12.76516583,0,1.44552098,0,1.923698951,6.066197023,0.566202803,1.175491832,2.743004311,3.466359943,0.599304863,1.100217557,3.3168544,0,0,3.980915351,1.195636097,1.113349979,0.646747839,2.254373887,13.19541398,0,1.304406488,0,0,0.242085075,0,0
711,0.415486064,0,0.167653752,1.0111461,12.2533699,0,1.310116172,0,2.063635009,6.206171983,0.616557156,1.090407809,2.937213815,3.430149804,0.755272376,1.553773619,3.509299979,0,0,4.269600094,1.24525389,1.160225922,0.384956911,2.351547144,12.95683096,0,1.703747037,0,0,0.010547625,0,0
712,0.567892749,0,0.395737059,0.974594563,12.04512589,0,1.180884473,0,2.087543967,6.29092659,0.751878244,0.991822723,3.129440941,3.287738459,0.837975076,1.820834151,3.685896548,0,0,4.442101985,1.170066024,1.116350798,0,2.489549651,12.91864735,0,2.074459816,0,0,0,0,0
713,0.599782777,0,0.570799885,0.97172888,12.12239397,0,1.082772573,0,1.967954083,6.331246235,0.906472511,0.892364231,3.302670837,3.047540147,0.839820911,1.908385164,3.822242861,0,0,4.457912006,0.968583376,0.963325418,0,2.635546889,13.06427844,0,2.343065795,0,0,0,0,0
714,0.525185075,0,0.64548011,0.998087364,12.42148389,0,1.034607746,0,1.681630838,6.355324954,0.986459118,0.816456224,3.434206899,2.768196666,0.752828378,1.859958894,3.886274795,0,0,4.299390973,0.650623632,0.704106987,0,2.766302728,13.33849809,0,2.429404538,0,0,0,0,0
715,0.361749774,0,0.592357106,1.051583806,12.85462806,0,1.045328766,0,1.23364754,6.386406792,0.911075316,0.759683891,3.502217719,2.511292261,0.567850439,1.732829833,3.852876627,0,0,3.978611075,0.242973008,0.364917196,0,2.864887164,13.67552322,0,2.287305259,0,0,0,0,0
716,0.134541457,0,0.426204538,1.135188001,13.28383249,0,1.103086604,0,0.68875506,6.437070428,0.627595469,0.65663153,3.48676949,2.343983521,0.273285631,1.612806417,3.711691276,0.270265202,0.060092079,3.57004756,0,0.020796629,0,2.927554897,13.98778446,0,1.942402071,0,0,0,0,0
717,0,0,0.171000678,1.251451054,13.57137699,0,1.192469164,0.0906621,0.119418526,6.516813413,0.09530943,0.443496789,3.369736577,2.329905414,0,1.584381898,3.456025437,0.570680381,0.340770975,3.155001468,0,0,0,2.952631198,14.18865356,0,1.431695616,0,0,0.02327181,0,0
