bp,B1: 0.1X JW_Sheared gDNA_1,B2: 0.1X JW_Sheared gDNA_2,B3: 0.1X JW_Sheared gDNA_3,B4: 0.1X JW_Sheared gDNA_4,B5: 0.1X JW_Sheared gDNA_5
50,8.75881303369872,13.723800562015352,8.009697153108503,14.177744437063613,8.324839181501195
51,8.103062911591817,13.141498950114487,6.722971154702086,13.803344643543161,6.349551979085315
52,6.491540692392878,11.85626021772178,5.569821279755363,13.356571365653032,5.68603173240462
53,5.086648712678332,10.42567789257723,5.082466442473616,12.17031836251378,6.143522710988013
54,3.9681061001317395,9.023335175298726,5.658812802625278,11.464562671242986,6.8299885238511635
55,3.373015224441775,7.998185626825479,6.4218260994437,12.737076893765138,7.846255834736333
56,3.608133120219266,7.409392131677455,6.291000109086591,15.110677805377001,8.882993286288864
57,4.64560391409364,7.668443811141912,5.9616309746968685,16.525306068144946,8.705970031888452
58,7.263127979629218,8.607440583734112,6.17584940479916,16.02880334902843,7.551877964887053
59,11.659187675694053,9.742109886525295,6.739211157990859,14.43173874721558,7.671560103539859
60,16.143633192619863,12.397979658650872,8.256920078057453,13.590380996569818,10.505352569840742
61,19.11003547035139,17.46885814880623,11.659331804645662,14.26555516563518,15.401684990641044
62,20.004223136954966,21.968444508428657,16.384241874791826,15.471150436161711,20.47756186320651
63,18.98274327241797,22.85469508506257,20.7770592026222,16.190302456974727,24.012775041947847
64,17.08199098166607,21.088574521384498,22.65588603887079,15.860984613203069,24.59410872880642
65,15.767163833999403,19.661736080235,21.261469751275936,14.358894566429385,22.626483848958234
66,15.661228455922101,19.62191985597934,17.885227197504165,12.357184576972331,20.227283261496485
67,16.817686256411502,20.615323840400563,14.91144623691702,10.561601107062453,18.920688202730673
68,19.181745504787713,22.38858929326647,13.847433926320814,9.075611170453735,18.42759052918447
69,21.69474060186621,24.392114874012428,14.683882457583554,8.226562849639569,18.609627711437472
70,22.905593302633026,26.139604899339393,16.326855892106245,8.29375319362722,20.354422082960774
71,23.23016963212492,27.74016749623751,18.038026269366043,8.211445654769753,24.2536379110011
72,24.2040538112074,29.0933656842777,20.341358094430557,7.3157382096829995,29.644497230282322
73,26.47688287439803,30.882138282089745,23.955259387641323,7.436848124271696,34.614527651540456
74,30.123909696399934,35.1386517262477,28.33940838206537,9.459056690509579,38.28380524233253
75,34.600000000000016,42.01,32.21000000000001,11.369999999999997,41.79
76,40.01000000000001,49.07000000000001,35.99000000000001,11.980000000000004,46.300000000000004
77,44.64885400935378,53.264768314422696,38.86484548912837,12.048166408232396,49.93667406029348
78,49.27161536269644,56.07407359989336,41.22280083582016,12.07606614423074,53.35422825997793
79,54.29267272205478,58.945308137877326,43.38638139071374,12.24484157368672,57.21257650991963
80,58.77751729055376,61.81370616412533,45.127353525976034,12.53249333209648,61.10567189723573
81,62.54054074772379,65.11128007316509,46.96454543205169,12.800227085161447,64.9733699000176
82,65.76319365982403,69.28651509507846,49.48919765542163,12.858855654106256,68.92208570832715
83,68.65591393307889,74.29162694534182,52.73333260373458,12.523171902881124,73.04187283287534
84,71.52901275605237,79.9110990928135,56.395575195676464,11.81865809063419,77.48263283066241
85,74.79264727894208,85.86443097714569,60.10488283941364,10.97495722698189,82.39860236513965
86,78.95856879624232,91.90728524804383,63.88695489647625,10.41971269599099,87.81031481243177
87,84.24657894540971,97.92772861348908,67.9384260682632,10.569916424349572,93.70052910930158
88,90.47387479095839,103.97856658903716,72.50566426707417,11.702524691711956,100.07455653920864
89,97.13400061013019,110.27152516746565,77.5722530410635,13.609019357010297,107.12866675678065
90,103.82418975417501,117.0132059904322,83.00622173191537,15.814330111640086,115.05548229858728
91,110.55727385933754,124.29381778510594,88.65542189944577,17.71795797001763,123.88594984697475
92,117.68573855096733,132.11522808103922,94.48146379352228,19.081863703786976,133.32814734105125
93,125.61999261310302,140.4605883537657,100.50337430115425,19.978449912271742,142.92703759095335
94,134.39371297158857,149.39215759229344,106.70274663897632,20.71318147603444,152.31176449434062
95,143.7080331774158,158.9146245674463,113.08962201874891,21.417319285973782,161.4510505730195
96,153.04799024316966,168.95154100375618,119.70565828403348,21.98830322319771,170.63833642305178
97,162.10441538132477,179.37486125591863,126.57592154556716,22.211845814792927,180.2122798662256
98,170.88471951335438,190.20449443499228,133.64811037156835,22.05605335009307,190.35135227743746
99,179.7528210528421,201.71482881417305,140.7745697214666,21.83961660190126,200.97441623125877
100,188.80874554641724,214.18097581992467,147.95345249495998,22.02322741140033,212.0507879968163
101,198.37068428893747,227.71490794110613,155.34609609275458,22.969388197884424,223.65889668678338
102,209.5432703607185,242.03735360508435,163.31850688407965,24.622004069365804,236.05222744789134
103,220.4256822863531,256.79438720972803,172.19688190513,26.6299713902685,249.4131912035602
104,227.55220104599152,271.7009417060281,182.19351954466643,28.49036415263691,263.78922829714645
105,232.36223735592296,286.8219207526756,193.29029361584622,29.89664705513932,279.00852625567484
106,238.58086629715177,302.36627826895744,205.30828107420234,30.77645088456171,294.8973473584765
107,250.29983043193783,318.55444707054505,217.9052611442373,31.31530080325043,311.34528885747187
108,264.8337849231642,335.19248035168494,230.518103520841,31.805133998158418,328.12910873045234
109,278.4459369603429,351.98276547749253,242.7103064409,32.54096944348514,345.08540740906386
110,291.9157662846936,368.82751625602094,254.54538931068774,33.71782444232279,362.2932587183892
111,305.7171340350189,385.7390173910444,266.33742181204354,35.26965311247374,379.77823198001863
112,319.7707947119721,402.82658669490456,278.49456851917364,36.90736916546811,397.50866391272876
113,334.37991995773876,420.3273627675988,291.267489985202,38.19770436364099,415.47368011042477
114,349.78620575038605,438.42747388798375,304.68367030187324,38.89580687414953,433.7142761749031
115,366.01638899035174,457.205069529302,318.53366448680543,39.07282108271479,452.36212554558455
116,382.86325487147667,476.6458962493616,332.4881927203159,39.16926182238154,471.7726180042512
117,400.06256318300564,496.7327943319753,346.30336995947584,39.70080644014895,491.9840068906469
118,417.427111363412,517.5021321691139,360.0025027789797,41.028199835059056,512.3960288146993
119,435.009282971622,538.9381300717554,373.9360183788449,43.083380324798114,533.7630317531008
120,452.9704117276347,560.8837014511753,388.57951447728857,45.49672812006598,555.6697283930309
121,471.3379471211651,582.8553332190429,404.1876351794943,47.79168456824826,571.4243020332708
122,489.88341454716993,604.3373388425716,420.65289584344436,49.7177160907439,580.1924485779323
123,508.17343776942164,624.9267614871193,437.5370268874918,51.28775775128896,588.3853399348643
124,525.9403512918778,644.656709843277,454.37925096117283,52.57270560770026,602.1620598376495
125,543.1321750840021,663.9253011950442,470.79507566705263,53.609771549651015,622.5157900780094
126,559.9520120123939,683.4776520882137,486.55487636579716,54.370817521063266,642.8710764331245
127,576.5882740192546,703.9405477359627,501.67469711776937,54.97755488041834,662.3204857617478
128,593.2603567448665,725.6540941259353,516.4534557837326,55.66801335313232,682.9378041517762
129,610.3370898575728,748.404593451511,531.6056587857661,56.75308876902644,705.14794440486
130,628.325718128267,771.8195437583802,547.8925818964682,58.45620926313002,728.9593573637485
