bp,E1: JW_1,E2: JW_2,E3: JW_3,E4: JW_4,E5: JW_5,E6: JW_6,E7: JW_7,E8: JW_8,F1: JW_9,F2: JW_10,F3: JW_11,F4: JW_12,F5: JW_13,F6: JW_14,F7: JW_15,F8: JW_16
78,14.93919289,33.62537201,6.484647733,30.06776698,38.44754511,29.31896149,31.61177519,17.76865678,6.770792316,8.675901956,3.206919948,25.04468382,19.32984724,28.51974823,27.2117482,24.28851259
79,15.94346007,36.51206674,7.172818844,32.8380968,40.85134385,31.0653328,33.96755969,18.38600547,7.545253863,9.026491521,2.757603801,27.50472243,20.88857668,31.07928403,29.22845489,26.83372287
80,17.15446273,39.12837348,7.765029744,35.55516699,43.74906107,32.82917012,36.55573388,18.86245538,8.669205027,9.974110007,2.663193722,30.77307875,22.80331064,33.83555307,31.21973444,29.82057731
81,18.62832688,41.5658973,8.436388458,38.04681016,47.11728076,34.85499509,39.36101725,19.39847324,10.15668333,11.1233041,2.949223163,34.41193551,24.85758327,36.61149871,33.38714753,32.9715429
82,20.33726749,44.10066045,9.299333777,40.33005935,50.97429703,37.353237,42.46110548,20.22219229,11.84024253,12.14624023,3.506069145,37.90941218,26.90261587,39.39209319,35.94737646,35.93679467
83,22.07333677,46.94755983,10.22471491,42.5355591,55.28844663,40.24576621,45.89420179,21.43574383,13.31852142,13.38644431,4.111651684,40.83340879,28.91949475,42.32524422,38.84111347,38.36253364
84,23.636274,50.12389736,10.96857574,44.75673433,59.86096026,43.28156492,49.50181144,23.04489021,14.39269323,14.81581312,4.587277653,43.06205138,30.933668,45.64240725,41.81866807,40.30075061
85,24.94824158,53.53018192,11.33180388,47.03337465,64.40193407,46.19196542,53.03204935,24.95794947,15.0915599,16.24083301,4.808647526,44.77410897,33.00249054,49.4719065,44.59660032,42.0926765
86,26.2083789,57.05031121,11.36743634,49.33967021,68.63672971,48.88190583,56.28474645,26.95846829,15.69396752,17.67866829,4.716329995,46.47898785,35.22108838,53.57412777,47.05516121,44.21710574
87,27.64597073,60.67706675,11.25904578,51.67355912,72.53791899,51.4559663,59.27929107,28.88864313,16.37744593,19.19582367,4.324820412,48.64523825,37.70660354,57.56792955,49.34316718,46.86896003
88,29.4126347,64.46842619,11.23403947,54.09522418,76.29987953,54.15076699,62.23123287,30.71925577,17.16381902,20.83722301,3.755325903,51.56013406,40.52387479,61.11679904,51.78482922,49.9542944
89,31.40215508,68.3831902,11.40396649,56.79866472,80.20213264,57.17101835,65.44634865,32.67238261,17.91871314,22.51757055,3.340703548,55.10038009,43.48342982,64.32322895,54.61669858,53.22681944
90,33.45594897,72.3306492,11.84058068,60.00501276,84.43274339,60.66585033,69.1096858,35.01413869,18.59336419,24.19866461,3.418800506,59.03279177,46.31616446,67.49747914,57.95775707,56.5672394
91,35.45114963,76.21876338,12.58710421,63.89555638,89.0446214,64.72059785,73.2220851,37.93596355,19.29523851,25.94269158,4.206284138,63.14863146,48.79509088,71.0179189,61.80781331,60.04387192
92,37.40640796,80.12009106,13.59409687,68.44906125,94.05607587,69.36465158,77.67164447,41.30063218,20.20725777,27.8602442,5.518811238,67.4584032,51.06660324,74.9691706,66.11683114,63.71354801
93,39.36824017,84.22215038,14.71803053,73.4313512,99.50362341,74.45242317,82.35157177,44.85764694,21.42240811,29.96330822,6.962453417,72.00589241,53.42103108,79.33793662,70.79799849,67.54720267
94,41.34439482,88.79175454,15.72860335,78.42933773,105.4664951,79.57619678,87.26977954,48.38058715,22.83600385,32.06976546,8.068761158,76.7485898,56.14685177,84.14351929,75.72077658,71.39445341
95,43.35546187,93.98718992,16.53482606,83.54028547,111.979207,84.33004716,92.8254899,51.75903424,24.30160583,33.98627527,8.673477428,81.58490748,59.41318996,89.51505482,80.6743416,75.19485262
96,45.49629021,99.87947864,17.1206077,88.65063749,118.9967909,88.54006408,98.94937981,55.04354181,25.74482407,35.62786884,8.884838362,86.45642162,63.30477464,95.5627027,85.46100257,79.01807111
97,48.01745451,106.4689151,17.46212578,92.68424941,126.3345104,92.57876225,104.1595618,58.47672488,27.30449356,37.17217601,9.06018555,91.48145313,67.84074,102.188819,90.02778852,83.10846807
98,51.08046701,113.5672176,17.64481716,98.84990314,133.665824,96.95121874,111.0800024,61.48205702,29.18316832,38.8655356,9.49914575,96.79480217,72.75853912,109.044,94.46287222,87.55825872
99,54.70555519,120.849709,17.8346859,110.7550185,140.681825,102.0875008,122.9774109,63.2226481,31.54741428,40.93858617,10.34443197,102.4909447,77.60127528,115.6892381,98.95249545,92.29830487
100,58.72142346,128.0130963,18.16771141,120.8955824,147.4929195,107.9948935,133.1963927,64.37037333,34.33649423,43.47811691,11.44108156,108.5443067,81.99889704,121.9986016,103.6926958,97.19197366
101,62.85309598,134.8995962,18.65264025,126.7511349,154.476939,114.3725872,139.7271756,66.0258812,37.26874221,46.42009879,12.53280427,114.8007639,85.89160821,128.0346012,108.7560629,102.2067902
102,66.7894309,141.5559285,19.19880895,133.2713691,162.1545929,120.7441839,147.3526426,69.10614584,39.88945569,49.56788525,13.35415838,121.0189155,89.56105915,133.9978052,114.0897287,107.4458317
103,70.39339093,148.3042613,19.9013663,140.4317596,170.782111,126.9622997,155.8760579,73.01738015,41.8264069,52.71492677,13.79819313,127.098209,93.40324007,140.1428108,119.7154986,113.0321372
104,73.70903069,155.494375,20.87761514,147.2064642,180.2700533,133.1297674,164.1015193,77.11500814,42.96916377,55.73481062,13.85198405,133.1199669,97.68177943,146.7566795,125.7392497,118.9540205
105,76.96796221,163.3398033,22.16190841,153.9461596,190.1280051,139.5319891,172.2027552,81.48560083,43.60498054,58.63458775,13.57418382,139.3670448,102.3826375,154.1359217,132.340507,124.9797631
106,80.37078007,171.7715198,23.68706712,160.8313871,199.8619887,146.207399,180.239021,85.98679514,44.28539661,61.45365696,13.11167198,146.0532443,107.3857378,162.4349149,139.5650149,130.8996619
107,84.00475892,180.5369451,25.31625317,167.9086296,209.1507689,153.0765219,188.2090017,90.38403631,45.53567099,64.22007063,12.68866297,153.2530534,112.5805653,171.578181,147.3090781,136.6525161
108,87.74779356,189.2959705,26.87249952,175.2684755,218.0536013,160.1161981,196.2600844,94.59330843,47.51282427,66.9094581,12.59673993,160.822689,117.9821004,181.1214185,155.2860541,142.475353
109,91.44504733,197.9122298,28.30557087,183.0080955,226.8552967,167.4846539,204.5587628,98.65075923,49.94945448,69.47991697,12.91991071,168.6469818,123.6748418,190.5590684,163.1584255,148.6252835
